Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Mali,Sub-Saharan Africa,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,2.06
Sierra Leone,Sub-Saharan Africa,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,2.417
Sri Lanka,Southern Asia,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244,0.56
Myanmar,Southeastern Asia,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,0.651
Chad,Sub-Saharan Africa,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,2.592
Ukraine,Central and Eastern Europe,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,1.008
Ethiopia,Sub-Saharan Africa,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,1.732
Uganda,Sub-Saharan Africa,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252,1.677
Egypt,Middle East and Northern Africa,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,1.186
Zambia,Sub-Saharan Africa,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247,1.28
Togo,Sub-Saharan Africa,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177,2.273
India,Southern Asia,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,1.124
Liberia,Sub-Saharan Africa,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,1.901
Madagascar,Sub-Saharan Africa,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,1.83
Burundi,Sub-Saharan Africa,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,2.326
Zimbabwe,Sub-Saharan Africa,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,1.149
Haiti,Latin America and Caribbean,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,1.582
Botswana,Sub-Saharan Africa,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,0.184
Malawi,Sub-Saharan Africa,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,1.414
Yemen,Middle East and Northern Africa,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108,1.139
Rwanda,Sub-Saharan Africa,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217,0.467
Tanzania,Sub-Saharan Africa,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276,0.531
Afghanistan,Southern Asia,154,3.203,0.35,0.517,0.361,0,0.025,0.158,1.792
